Year,Total,15-19,20-24,25-29,30-34 ,35-39 ,40-44,45-49
2017,,,,,,,,
2016,,,,,,,,
2015,16.43,7.99,40.17,41.55,14.98,4.63,1.85,1.25
2014,21.5,10.06,60.46,54.13,17.01,4.3,0.75,0.17
2013,22.96,7.32,58.17,61.22,22.84,5.96,1.52,0.8
2012,23.38,6.43,60.23,65.68,22.21,4.8,1.51,0.75
2011,19.75,5.69,57.34,51.74,15.45,3.1,1.13,0.63
2010,,,,,,,,
2009,24.24,5.57,77.8,64.57,19.6,6.95,4.69,4.2
2008,26.22,4.96,84.51,70.08,22.16,8.92,5.84,4.4
